,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
3173,Melpa,"['Trans–New Guinea', 'Chimbu–Wahgi', 'Hagen', 'Melpa']",Data not available,med,melp1238,"(130,000 cited 1991)[1]","Mount Hagen District, Western Highlands Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Melpa_language
3174,Mengen,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Ngero–Vitiaz', 'Mengen languages', 'Mengen']","['Mengen', 'Poeng']",mee,meng1267,"(8,400 cited 1982)[1]",New Britain,Data not available,Data not available,https://en.wikipedia.org/wiki/Mengen_language
3175,Megam,"['Sino-Tibetan', 'Brahmaputran', 'Bodo–Garo', 'Garo', 'Megam']",Data not available,mef,Data not available,"6,900 (2000)[1]",Mymensingh division,Data not available,Data not available,https://en.wikipedia.org/wiki/Megam_language
3176,Nuyoo Mixtec,"['Oto-Manguean', 'Mixtecan', 'Mixtec', 'Nuyoo Mixtec']","['Santiago Nuyoo Santiago', 'Santa María Yucuhiti']",meh,sout3000,"7,300 (2000 census)[1]",Oaxaca,Data not available,Data not available,https://en.wikipedia.org/wiki/Nuyoo_Mixtec
3177,Midob,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Northern Eastern', 'Nubian', 'Western', 'Midob']","['Uurti', 'Shalkota', 'Kaageddi']",mei,mido1240,"93,000 (2022)[1]",North Darfur,Data not available,Data not available,https://en.wikipedia.org/wiki/Midob_language
3178,Meyah,"['West Papuan', ""\nEast Bird's Head"", 'Mantion–Meyah', 'Meyah', 'Meyah']",Data not available,mej,meya1236,"15,000 (2000)[1]","Miyah District, Tambrauw Regency, Southwest Papua",Data not available,Data not available,https://en.wikipedia.org/wiki/Meyah_language
3179,Mekeo,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Papuan Tip', 'Central Papuan Tip', 'Nuclear West Central', 'Mekeo']",Data not available,mek,meke1243,"20,000 (2015)[1]",Central Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mekeo_language
3180,Mangarla,"['Pama–Nyungan', 'Marrngu', 'Mangarla']",['Juwarliny'],mem,mang1383,68 (2016 census)[1],Western Australia,Data not available,Data not available,https://en.wikipedia.org/wiki/Mangarla_language
3181,Mende,"['Niger–Congo', '?\n', 'Mande', 'Western', 'Southwestern', 'Mende–Loma', 'Mende–Bandi', 'Mende–Loko', 'Mende']","['Ko', 'Kpa', 'Sewawa', 'Wanjama']",men,mend1266,2.5 million (2020–2021)[1],South central Sierra Leone,Data not available,Data not available,https://en.wikipedia.org/wiki/Mende_language
3182,Kedah Malay,"['Austronesian', 'Malayo-Polynesian', '(disputed)', 'Malayic', 'Kedah Malay']","['Kedah Persisiran', 'Kedah Utara', 'Perlis-Langkawi', 'Penang', 'Northern Perak', 'Satun', 'Jaring Halus']",meo,keda1251,2.6 million (2004)[1],"Kedah, Pulau Pinang, Perlis, northern Perak (Kerian, Manjung, Larut, Matang and Selama), Trang, Satun, Ranong, Tanintharyi, Langkat, Aceh",Data not available,Data not available,https://en.wikipedia.org/wiki/Kedah_Malay
3183,Miriwoong,"['Jarrakan', 'Miriwoong']","['Gajirrawung', '? ', 'Dulbung']",mep,miri1266,168 (2021 census)[1],"Kununurra, Western Australia",Data not available,Data not available,https://en.wikipedia.org/wiki/Miriwoong_language
3184,Merey,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Wandala–Mafa', 'Mafa', ' (A.5)', 'South (b)', 'Merey']",Data not available,meq,mere1246,"(10,000 cited 1982)[1]",Far North Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Merey_language
3185,Masmaje,"['Afro-Asiatic', 'Chadic', 'East Chadic', 'East Chadic B', 'Mubi', ' (B.1.2)', 'Masmaje']",Data not available,mes,masm1239,Data not available,central,Data not available,Data not available,https://en.wikipedia.org/wiki/Masmaje_language
3186,Mato,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Ngero–Vitiaz', 'Roinji–Nenaya', 'Mato']",Data not available,met,mato1252,580 (2002)[1],Morobe,Data not available,Data not available,https://en.wikipedia.org/wiki/Mato_language
3187,Motu,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'Papuan Tip', 'Central', 'Sinagoro–Keapara', 'Motu']",Data not available,meu,motu1246,"39,000 (2008)[1]",Central Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Motu_language
3188,Mano,"['Niger–Congo', 'Mande', 'Eastern Mande', 'Southeastern', 'Mano–Dan', 'Mano']",Data not available,mev,mann1248,"430,000 (2017–2020)[1]","Liberia, Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Mano_language
3189,Maaka,"['Afro-Asiatic', 'Chadic', 'West Chadic', 'Bole–Angas', 'Bole–Tangale (A.2)', 'Bole', ' (North)', 'Maaka']",Data not available,mew,maak1236,"(10,000 cited 1993)[1]",Borno State,Data not available,Data not available,https://en.wikipedia.org/wiki/Maaka_language
3190,Hassaniya,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi', 'Hilalian', 'Hassaniya']","['Nemadi', 'Imraguen']",mey,hass1238,5.2 million (2014–2021)[1],Data not available, Mali[2], Morocco[3],https://en.wikipedia.org/wiki/Hassaniya_Arabic
3191,Menominee,"['Algic', 'Algonquian', 'Menominee']",Data not available,mez,meno1252,35 (2007)[1]25 L2 speakers (no date)[2],Northeastern Wisconsin,Data not available,Data not available,https://en.wikipedia.org/wiki/Menominee_language
3192,Kelantan-Pattani Malay,"['Austronesian', 'Malayo-Polynesian', 'Malayic', 'Kelantan-Pattani Malay']",Data not available,mfatitle  Pattani,patt1249,1.5 million in Thailand (2010)[1]2 million in Malaysia[citation needed],"Malaysia:KelantanMerapoh, PahangBesut and Setiu, TerengganuBaling, Sik and Padang Terap, KedahHulu Perak (Pengkalan Hulu and Grik), PerakThailand:Patani region, Songkhla Province (Sabayoi, Chana, Nathawi, Thepha), Minburi area (Min Buri), Lat Krabang, Khlongsamwa, Nong Chok)",Data not available, Thailand,https://en.wikipedia.org/wiki/Kelantan-Pattani_Malay
3193,Bangka Malay,"['Austronesian', 'Malayo-Polynesian', '(disputed)', 'Malayic', 'Bangka Malay']","['Mentok ', ' Belinyu ', ' Sungailiat ', ' Koba ', ' Toboali ', ' Lom']",mfb,bang1365,"340,000 (2000 census)[1]",Sumatra,Data not available,Data not available,https://en.wikipedia.org/wiki/Bangka_Malay
3194,Mba,"['Ubangian', '\nSere–Mba', 'Ngbaka–Mba', 'Mba languages', 'Mba']",Data not available,mfc,mbaa1245,"36,000 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mba_language
3195,Mendankwe-Nkwen,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Grassfields', 'Eastern Grassfields', 'Mbam-Nkam', 'Ngemba', 'Mendankwe-Nkwen']",Data not available,mfd,mend1261,"28,000 (2005)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mendankwe-Nkwen_language
3196,Mauritian Creole,"['French Creole', 'Bourbonnais Creoles', 'Mauritian Creole']","['Agalega', ' ', ' ', 'Chagossian', ' ', ' ', 'Rodriguan']",mfe,mori1278,"1,090,000 (2012 UNSD)[1]1,335,000 total speakersL2 speakers: 200,000 (2016)",Data not available, Mauritius,Data not available,https://en.wikipedia.org/wiki/Mauritian_Creole
3197,Mixifore,"['Niger–Congo', 'Mande', 'Western Mande', 'Central–Western', 'Central Mande', 'Manding–Jogo', 'Manding–Vai', 'Manding–Mokole', 'Mokole', 'Mixifore']",Data not available,mfg,mixi1241,"20,000 (2012)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mixifore_language
3198,Matal,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Wandala–Mafa', 'Mafa', ' (A.5)', 'Matal']",Data not available,mfh,mata1306,"(18,000 cited 1982)[1]",Far North Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Matal_language
3199,Wandala,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Wandala–Mafa', 'Wandala languages', ' (A.4)', 'East', 'Wandala']",Data not available,mfi,wand1278,"(44,000 cited 1982–1993)[1]",Borno State,Data not available,Data not available,https://en.wikipedia.org/wiki/Wandala_language
3200,Mefele,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Wandala–Mafa', 'Mafa', ' (A.5)', 'South (c)', 'Mefele']",Data not available,mfj,mefe1242,"11,000 (2002)[1]",Far North Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mefele_language
3201,North Mofu,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Wandala–Mafa', 'Mafa', ' (A.5)', 'South (c)', 'North Mofu']",Data not available,mfk,nort3046,"(28,000 cited 1982)[1]",Far North Province,Data not available,Data not available,https://en.wikipedia.org/wiki/North_Mofu_language
3202,Putai,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Bura–Higi', 'Bura', ' (A.2)', 'Putai']",Data not available,mfl,puta1243,(undated figure of 50)[1],Borno State,Data not available,Data not available,https://en.wikipedia.org/wiki/Putai_language
3203,Marghi South,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Bura–Higi', 'Bura', ' (A.2)', 'Marghi South']",Data not available,mfm,marg1266,"170,000 (2006)[1]","Adamawa, Borno, Gombe, Taraba and Yobe State",Data not available,Data not available,https://en.wikipedia.org/wiki/Margi_South_language
3204,Mbembe,"['Niger–Congo', '?\n', 'Atlantic–Congo languages', 'Benue–Congo languages', 'Cross River', 'Upper Cross', 'Central', 'East–West', 'Mbembe']",Data not available,mfntitle – inclusive codetitleIndividual code:titleodatitle – Odut village,cros1244,"(100,000 cited 1982)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbembe_language
3205,Mbe,"['Niger–Congo', '?\n', 'Atlantic-Congo', 'Volta-Congo', 'Benue-Congo', 'Bantoid', 'Southern Bantoid', 'Ekoid', '–Mbe', 'Mbe']",Data not available,mfo,mbee1249,"65,000 (2011)[1]","Ogoja, Cross River State",Data not available,Data not available,https://en.wikipedia.org/wiki/Mbe_language
3206,Malay trade and creole languages,"['Creole', 'Malay trade and creole languages']",Data not available,–,Data not available,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Makassar_Malay
3207,Marrithiyel,"['Western Daly', 'Marrithiyel']","['Marri Ammu', 'Marritjevin', 'Marridan', 'Marramanindjdji', 'Marrithiyel']",Variously:titlemfrtitle – Marrithiyeltitlexrutitle – Marriammutitlezmjtitle – Maridjabintitlezmdtitle – Maridantitlezmmtitle – Marimanindjititlezmytitle – Mariyedi,mari1420,15 (2016 census)[1],Daly River,Data not available,Data not available,https://en.wikipedia.org/wiki/Marrithiyel_language
3208,Mexican Sign Language (LSM),"['French Sign', 'Mexican Sign Language (LSM)']",Data not available,mfs,mexi1237,"130,000 (2010 projection)[1]",Cities,Data not available,Data not available,https://en.wikipedia.org/wiki/Mexican_Sign_Language
3209,Mokerang,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Admiralty Islands', 'Eastern Admiralty Islands', 'Manus', 'West Manus', 'Loniu–Mokerang', 'Mokerang']",Data not available,mft,moke1240,(200 cited 1981)[1],"Los Negros Island, Manus Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Mokerang_language
3210,Manjak,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Senegambian', 'Bak', 'Manjaku–Papel', 'Manjak']","['Bok', 'Ulekes', 'Ucur', 'Ulund', 'Uyu', 'Unuab', 'Uteer', 'Uyool', 'Uyanga', 'Undin', 'Ubuey', 'Uguejan', 'Utimats', 'Uroongaan']",mfv,mand1419,"320,000 (2021–2022)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Manjak_language
3211,Mulaha,"['Trans–New Guinea', 'Kwalean', 'Mulaha']",Data not available,mfw,mula1254,Data not available,Papua New Guinea,Data not available,Data not available,https://en.wikipedia.org/wiki/Mulaha_language
3212,Melo,"['Afro-Asiatic', 'Omotic', 'North', 'Ometo', 'North', 'Melo']",Data not available,mfx,melo1242,"(20,000 cited 1994 census)[1]",Gamo Gofa Zone,Data not available,Data not available,https://en.wikipedia.org/wiki/Melo_language
3213,Mayo,"['Uto-Aztecan', 'Cáhita', 'Mayo']",Data not available,mfy,mayo1264,"39,000 (2020 census)[2]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mayo_language
3214,Mararit,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', 'Northern Eastern', 'Taman', 'Mararit']","['Ibiri', 'Abu Charib']",mgb,mara1396,"93,000 (2023)[1]","Wadi Fira, Ouaddai",Data not available,Data not available,https://en.wikipedia.org/wiki/Mararit_language
3215,Morokodo,"['Nilo-Saharan', '?\n', 'Central Sudanic', 'Bongo–Bagirmi', 'Bongo–Baka', 'Morokodo']",Data not available,Variously:titlemgctitle – Morokodotitlenwmtitle – Nyamusa-Molotitlegbntitle – Mo’da (Gberi)titlemwutitle – Mittu (extinct),gber1234title  Gberi-Morokodo-Mittutitlenyam1279title  Nyamusa-Molo,"ca. 50,000 (3,400 native) (2011)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Morokodo_language
3216,Moru,"['Nilo-Saharan', '?\n', 'Central Sudanic', 'East', 'Moru–Madi', 'Moru']",Data not available,mgd,moru1253,"230,000 (2017)[1]",South Sudan,Data not available,Data not available,https://en.wikipedia.org/wiki/Moru_language
3217,Maklew,"['Trans-Fly – Bulaka River', '?\n', 'Bulaka River', 'Maklew']",Data not available,mgf,makl1246,(undated figure of 120)[1],West Papua,Data not available,Data not available,https://en.wikipedia.org/wiki/Maklew_language
3218,Mpumpong,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantu', ' (', 'Zone A', ')', 'Makaa–Njem', ' + Kako (A.80–90)', 'Ndzem–Bomwali', 'Bekwilic', 'Mpumpong']","['Mezime (Medjime)', 'Mpiemo', 'Mpumpong']",Either:titlemggtitle – Mpumpongtitlemcxtitle – titleMpiemo,mpon1254title  Mpongmpongtitlempie1238title  Mpiemo,"(75,000, incl. Konabem cited 1991–1996)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mpumpong_language
3219,Jili,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'South', 'Jilic', 'Jili']",Data not available,mgi,liji1238,"40,000 (2006)[1]",Nassarawa State,Data not available,Data not available,https://en.wikipedia.org/wiki/Jili_language
3220,Abureni,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Central Delta', 'Abureni']",Data not available,mgj,abur1244,Data not available,Bayelsa State and Rivers State,Data not available,Data not available,https://en.wikipedia.org/wiki/Abureni_language
3221,Mawes,"['Northwest Papuan', '?\n', 'Foja Range', 'Mawes']",Data not available,mgk,mawe1251,850 (2006)[1],"Papua: Sarmi Regency, Bonggo District - Mawes Dai, Mawes Mukti, and Mawes Wres villages to the west of the Buri River",Data not available,Data not available,https://en.wikipedia.org/wiki/Mawes_language
3222,Idne,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'North New Guinea', 'Ngero–Vitiaz', 'Vitiaz', 'Idne']","['Maleu', 'Kilenge']",mgl,male1289,"8,000 (2000 census)[1]","western tip of Talasea District, West New Britain Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Idne_language
3223,Mambai,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'Ramelaic', 'Mambai']",Data not available,mgm,mamb1306,"130,000 (2010 census)[1]",East Timor,Data not available,East Timor,https://en.wikipedia.org/wiki/Mambai_language_(Timor)
3224,Metaʼ,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Grassfields', 'Eastern Grassfields', 'Momo', 'Metaʼ']","['Moghamo', 'Ngamambo']",Either:titlemgotitle – Metaʼtitlenbvtitle – Ngamambo,meta1238,"190,000 (2010)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Meta%27_language
3225,Malila,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Rukwa', 'Mbozi', 'Mbeya', 'South', 'Malila']",Data not available,mgq,mali1279,"65,000 (2003)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Malila_language
3226,Mambwe,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', 'Rukwa', 'Mbozi', 'Mwika', 'Mambwe']","['Mambwe (', 'Ichimambwe', ')', 'Cilungu/Lungu (', 'Ichirungu', ', Adong)', 'Fipa-Mambwe (', 'Kifipa cha kimambwe', ')']",mgr,mamb1296,"500,000 (2002 & 2010 censuses)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mambwe-Lungu_language
3227,Manda,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Northeast Bantu', 'South Tanzania Highlands Bantu', 'Manda-Ngoni', 'Manda']",['Matumba'],mgs,mand1423,"22,000 (2002)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Manda-Matumba_language
3228,Mongol,"['Ramu–Keram', 'Keram', 'Mongol–Langam', 'Mongol']",Data not available,mgt,mong1344,340 (2003)[1],East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mwakai_language
3229,Mailu,"['Trans–New Guinea', 'Mailuan', 'Mailu']",Data not available,mgu,mail1248,"8,500 (2000 census)[1]",Central Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mailu_language
3230,Matengo,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Rufiji–Ruvuma', 'Mbinga', 'Ruhuhu (South)', 'Matengo']",Data not available,mgv,mate1258,"(150,000 cited 1987)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Matengo_language
3231,Matumbi,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Rufiji–Ruvuma', 'Mbinga', 'Matandu', 'Matumbi']",Data not available,mgw,matu1259,"(72,000 cited 1978)[1]",Kilwa district,Data not available,Data not available,https://en.wikipedia.org/wiki/Matumbi_language
3232,Mbunga,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', 'Kilombero', 'Mbunga–Ndamba', 'Mbunga']",Data not available,mgy,mbun1248,"(29,000 cited 1987)[1]",Iringa,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbunga_language
3233,Mbugwe,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone F', ')', 'Mbugwe–Rangi', ' (F.30)', 'Mbugwe']",Data not available,mgz,mbug1242,"(24,000 cited 1999)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mbugwe_language
